fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
0.014423077;-0.007843137;0.015662651;0.219478528;-0.002284866;0.033763066;0.073410673;0.134952767;-0.170909091;-0.04627907;-0.276451613;6
-0.052884615;0.021568627;0.003614458;-0.073466258;0.00958457;-0.074250871;-0.014756381;0;0.101818182;0.000232558;-0.163548387;6
0.120192308;0.001960784;0.039759036;0.007822086;0.012551929;-0.018501742;-0.095962877;0.021206863;0.065454545;-0.057906977;-0.066774194;6
0.033653846;-0.047058824;-0.008433735;0.032361963;0.036290801;0.040731707;0.110533643;0.030846347;0.001818182;-0.104418605;-0.099032258;6
0.033653846;-0.047058824;-0.008433735;0.032361963;0.036290801;0.040731707;0.110533643;0.030846347;0.001818182;-0.104418605;-0.099032258;6
0.120192308;0.001960784;0.039759036;0.007822086;0.012551929;-0.018501742;-0.095962877;0.021206863;0.065454545;-0.057906977;-0.066774194;6
-0.0625;0.041176471;-0.104819277;0.009355828;-0.002284866;-0.018501742;-0.005475638;0.01735107;-0.007272727;-0.023023256;-0.147419355;6
0.014423077;-0.007843137;0.015662651;0.219478528;-0.002284866;0.033763066;0.073410673;0.134952767;-0.170909091;-0.04627907;-0.276451613;6
-0.052884615;0.021568627;0.003614458;-0.073466258;0.00958457;-0.074250871;-0.014756381;0;0.101818182;0.000232558;-0.163548387;6
0.120192308;-0.056862745;0.057831325;-0.075;-0.005252226;-0.025470383;-0.021716937;-0.003855793;0.029090909;-0.04627907;0.078387097;6
0.120192308;-0.007843137;0.045783133;-0.075766871;-0.037893175;-0.084703833;-0.174849188;-0.061692693;-0.18;0.081627907;0.239677419;5
0.168269231;-0.047058824;0.039759036;-0.033588957;-0.031958457;-0.063797909;-0.06812065;0.013495277;-0.043636364;0.046744186;-0.131290323;5
0.100961538;-0.096078431;0.021686747;-0.079601227;-0.017121662;-0.06728223;-0.147006961;-0.038557933;-0.007272727;0.163023256;0.046129032;5
-0.024038462;-0.115686275;0.039759036;-0.075;-0.005252226;0.044216028;0.010765661;-0.053981107;0.32;0.035116279;0.304193548;7
0.139423077;0.139215686;0.172289157;0.197239264;-0.017121662;0.019825784;0.078051044;0.119529593;-0.189090909;0.209534884;-0.131290323;5
-0.024038462;-0.105882353;0.027710843;-0.075;-0.040860534;-0.025470383;-0.061160093;-0.050125313;0.056363636;0.07;0.142903226;7
-0.052884615;0.198039216;-0.177108434;-0.081134969;0.000682493;-0.018501742;-0.091322506;-0.02313476;0.047272727;-0.150930233;-0.147419355;6
-0.0625;0.374509804;0.087951807;-0.079601227;-0.049762611;-0.021986063;-0.147006961;-0.09253904;0.129090909;-0.116046512;0.368709677;8
0.052884615;0.060784314;0.051807229;-0.081134969;-0.037893175;-0.063797909;0.075730858;-0.044341623;-0.061818182;0.046744186;0.126774194;6
-0.033653846;0.031372549;-0.11686747;0.01702454;-0.005252226;-0.00456446;-0.012436195;0.02891845;0.029090909;0.011860465;-0.163548387;5
-0.0625;0.374509804;0.087951807;-0.079601227;-0.049762611;-0.021986063;-0.147006961;-0.09253904;0.129090909;-0.116046512;0.368709677;8
-0.043269231;0.031372549;0.027710843;-0.053527607;-0.02305638;-0.056829268;-0.084361949;-0.053981107;-0.016363636;-0.16255814;0.078387097;7
-0.004807692;-0.017647059;0.051807229;-0.071932515;0.00958457;0.019825784;-0.037958237;-0.019278967;0.256363636;-0.011395349;-0.002258065;8
0.072115385;0.384313725;-0.11686747;-0.075;0.083768546;-0.035923345;0.068770302;-0.00578369;-0.125454545;0.023488372;-0.195806452;5
-0.024038462;-0.007843137;0.045783133;-0.078067485;0.018486647;-0.06728223;0.008445476;0.021206863;0.210909091;-0.023023256;-0.082903226;6
0.014423077;-0.02745098;-0.008433735;0.040030675;0.000682493;0.072090592;0.247424594;0.02891845;0.056363636;0.011860465;-0.018387097;6
0.004807692;-0.037254902;0.009638554;-0.082668712;0.018486647;-0.001080139;0.017726218;-0.019278967;0.238181818;-0.057906977;-0.082903226;6
0.014423077;0.001960784;0.03373494;0.035429448;0.015519288;-0.011533101;0.00612529;0.04048583;0.174545455;0.046744186;-0.002258065;6
0.052884615;-0.007843137;0.087951807;-0.081134969;0.003649852;-0.063797909;-0.014756381;-0.050125313;0.001818182;0.000232558;0.17516129;6
0.033653846;0.041176471;0.015662651;-0.067331288;-0.037893175;0.005888502;-0.056519722;-0.065548487;-0.08;0.256046512;0.288064516;7
0.158653846;-0.037254902;0.03373494;0.061503067;-0.005252226;-0.053344948;0.008445476;0.065548487;0.010909091;0.046744186;-0.082903226;6
0.139423077;-0.135294118;0.003614458;-0.081134969;-0.011186944;-0.098641115;-0.211972158;-0.01156738;0.256363636;-0.104418605;-0.050645161;6
0.052884615;-0.02745098;0.015662651;-0.066564417;0.012551929;-0.015017422;-0.08900232;-0.038557933;0.001818182;-0.057906977;0.046129032;6
-0.0625;-0.154901961;0.003614458;-0.075;-0.002284866;0.026794425;-0.049559165;-0.001927897;0.210909091;0.023488372;-0.244193548;6
-0.100961538;-0.007843137;-0.080722892;0.131288344;-0.005252226;-0.046376307;0.094292343;0.042413727;0.165454545;-0.139302326;-0.050645161;5
0.043269231;0.001960784;0.057831325;-0.071932515;0.1015727;-0.049860627;-0.035638051;-0.067476383;0.001818182;-0.081162791;0.368709677;5
-0.033653846;0.109803922;-0.062650602;-0.015184049;0.015519288;-0.035923345;0.024686775;-0.01156738;0.047272727;-0.16255814;-0.082903226;5
0.014423077;0.050980392;-0.008433735;-0.079601227;0.021454006;0.009372822;-0.000835267;-0.065548487;-0.052727273;-0.243953488;0.110645161;6
0.043269231;-0.037254902;0.03373494;0.177300613;0.033323442;0.033763066;0.024686775;0.113745903;0.02;-0.150930233;-0.308709677;5
0.043269231;-0.037254902;0.03373494;0.177300613;0.033323442;0.033763066;0.024686775;0.113745903;0.02;-0.150930233;-0.308709677;5
-0.014423077;-0.047058824;0.03373494;-0.059662577;0.374569733;0.096480836;0.045568445;-0.00578369;-0.070909091;-0.150930233;-0.179677419;6
-0.014423077;-0.037254902;0.03373494;-0.053527607;0.377537092;0.096480836;0.04324826;-0.00578369;-0.08;-0.174186047;-0.179677419;6
0.014423077;0.031372549;-0.044578313;0.015490798;0.068931751;-0.025470383;0.050208817;0.026990553;-0.052727273;-0.034651163;-0.11516129;6
-0.024038462;-0.037254902;-0.038554217;-0.076533742;0.033323442;-0.00804878;0.031647332;-0.01156738;0.029090909;0.081627907;-0.163548387;6
-0.014423077;-0.047058824;-0.044578313;-0.076533742;0.042225519;-0.00804878;0.036287703;-0.01156738;0.047272727;0.081627907;-0.163548387;6
